t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-08-28","Bhindi (Ladies Finger)","10378","Kakoi Weekly Market","18","Assam","307","Lakhimpur","Bhindi","2500","2700","2700"
"2025-08-28","Bhindi (Ladies Finger)","10336","Balugaon","18","Assam","325","Darrang","Bhindi","1500","2000","1600"
"2025-08-28","Bhindi (Ladies Finger)","10384","Barpeta Road","18","Assam","303","Barpeta","Bhindi","1700","2000","1800"
"2025-08-28","Bhindi (Ladies Finger)","10349","Sonari","18","Assam","302","Goalpara","Bhindi","2000","2500","2400"
"2025-08-27","Bhindi (Ladies Finger)","408","Golaghat","18","Assam","313","Golaghat","Bhindi","2400","2700","2500"
"2025-08-27","Bhindi (Ladies Finger)","10347","Krishnai","18","Assam","302","Goalpara","Bhindi","2000","2500","2400"
"2025-08-27","Bhindi (Ladies Finger)","10336","Balugaon","18","Assam","325","Darrang","Bhindi","1500","2000","1500"
"2025-08-27","Bhindi (Ladies Finger)","10384","Barpeta Road","18","Assam","303","Barpeta","Bhindi","1800","2000","2000"
"2025-08-27","Bhindi (Ladies Finger)","404","Dhing","18","Assam","305","Nagaon","Bhindi","1400","1500","1500"
"2025-08-27","Bhindi (Ladies Finger)","10371","Dhamdhama","18","Assam","323","Nalbari","Bhindi","2600","3000","3000"
"2025-08-27","Bhindi (Ladies Finger)","10380","Simalguri","18","Assam","311","Sivasagar","Bhindi","2500","2700","2500"
"2025-08-26","Bhindi (Ladies Finger)","10384","Barpeta Road","18","Assam","303","Barpeta","Bhindi","1800","2000","2000"
"2025-08-26","Bhindi (Ladies Finger)","1884","Sibsagar","18","Assam","311","Sivasagar","Bhindi","2400","2700","2600"
"2025-08-26","Bhindi (Ladies Finger)","10373","Mukalmua","18","Assam","323","Nalbari","Bhindi","2400","2600","2600"
"2025-08-26","Bhindi (Ladies Finger)","10375","Baginadi","18","Assam","307","Lakhimpur","Bhindi","2500","2700","2700"
"2025-08-26","Bhindi (Ladies Finger)","408","Golaghat","18","Assam","313","Golaghat","Bhindi","2500","2800","2600"
"2025-08-26","Bhindi (Ladies Finger)","10350","Simlitola","18","Assam","302","Goalpara","Bhindi","2000","2600","2000"
