t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-08-28","Bitter gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bitter Gourd","1500","1800","1600"
"2025-08-28","Bitter gourd","10349","Sonari","18","Assam","302","Goalpara","Bitter Gourd","2200","2600","2500"
"2025-08-28","Bitter gourd","10378","Kakoi Weekly Market","18","Assam","307","Lakhimpur","Bitter Gourd","2800","3000","3000"
"2025-08-28","Bitter gourd","10336","Balugaon","18","Assam","325","Darrang","Bitter Gourd","1600","2000","1600"
"2025-08-27","Bitter gourd","10380","Simalguri","18","Assam","311","Sivasagar","Bitter Gourd","2700","3000","2800"
"2025-08-27","Bitter gourd","10336","Balugaon","18","Assam","325","Darrang","Bitter Gourd","1500","2000","1600"
"2025-08-27","Bitter gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bitter Gourd","1500","1700","1700"
"2025-08-27","Bitter gourd","10347","Krishnai","18","Assam","302","Goalpara","Bitter Gourd","2000","2500","2400"
"2025-08-27","Bitter gourd","408","Golaghat","18","Assam","313","Golaghat","Bitter Gourd","2700","3000","2800"
"2025-08-27","Bitter gourd","10371","Dhamdhama","18","Assam","323","Nalbari","Bitter Gourd","2400","2600","2400"
"2025-08-26","Bitter gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bitter Gourd","1500","1800","1800"
"2025-08-26","Bitter gourd","1884","Sibsagar","18","Assam","311","Sivasagar","Bitter Gourd","2500","2700","2700"
"2025-08-26","Bitter gourd","10373","Mukalmua","18","Assam","323","Nalbari","Bitter Gourd","1600","2000","2000"
"2025-08-26","Bitter gourd","10375","Baginadi","18","Assam","307","Lakhimpur","Bitter Gourd","2700","2800","2800"
"2025-08-26","Bitter gourd","408","Golaghat","18","Assam","313","Golaghat","Bitter Gourd","2700","2800","2800"
"2025-08-26","Bitter gourd","10350","Simlitola","18","Assam","302","Goalpara","Bitter Gourd","2000","2500","2400"
"2025-08-26","Bitter gourd","10336","Balugaon","18","Assam","325","Darrang","Bitter Gourd","1600","2000","1800"
"2025-08-23","Bitter gourd","10335","Sonabarighat","18","Assam","316","Cachar","Bitter Gourd","2700","2800","2700"
"2025-08-23","Bitter gourd","1884","Sibsagar","18","Assam","311","Sivasagar","Bitter Gourd","3000","3200","3000"
"2025-08-23","Bitter gourd","10371","Dhamdhama","18","Assam","323","Nalbari","Bitter Gourd","2400","2600","2400"
