t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-08-28","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1066.72","1200.06","1200.06"
"2025-08-28","Bottle gourd","10349","Sonari","18","Assam","302","Goalpara","Bottle Gourd","1200.06","1333.4","1333.4"
"2025-08-28","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1333.4","1600.08","1333.4"
"2025-08-27","Bottle gourd","404","Dhing","18","Assam","305","Nagaon","Bottle Gourd","1000.05","1466.74","1333.4"
"2025-08-27","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1200.06","1466.74","1333.4"
"2025-08-27","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1066.72","1200.06","1133.39"
"2025-08-27","Bottle gourd","10347","Krishnai","18","Assam","302","Goalpara","Bottle Gourd","1333.4","1600.08","1466.74"
"2025-08-27","Bottle gourd","10362","Dotma Bazar","18","Assam","300","Kokrajhar","Bottle Gourd","1666.75","1733.42","1666.75"
"2025-08-26","Bottle gourd","10350","Simlitola","18","Assam","302","Goalpara","Bottle Gourd","1200.06","1333.4","1333.4"
"2025-08-26","Bottle gourd","10375","Baginadi","18","Assam","307","Lakhimpur","Bottle Gourd","1333.4","1466.74","1466.74"
"2025-08-26","Bottle gourd","10363","Gossaigaon","18","Assam","300","Kokrajhar","Bottle Gourd","2000.1","2333.45","2000.1"
"2025-08-26","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1133.39","1200.06","1200.06"
"2025-08-23","Bottle gourd","10346","Jaleswar","18","Assam","302","Goalpara","Bottle Gourd","1333.4","1666.75","1466.74"
"2025-08-23","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1000.05","1200.06","1133.39"
"2025-08-22","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1133.39","1200.06","1200.06"
"2025-08-22","Bottle gourd","10361","Balajan Tiniali","18","Assam","300","Kokrajhar","Bottle Gourd","1666.75","2000.1","1866.76"
"2025-08-22","Bottle gourd","10348","Lakhipur","18","Assam","302","Goalpara","Bottle Gourd","1333.4","1600.08","1466.74"
"2025-08-22","Bottle gourd","10337","Banglagarh","18","Assam","325","Darrang","Bottle Gourd","1200.06","1466.74","1333.4"
"2025-08-21","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1133.39","1200.06","1200.06"
"2025-08-21","Bottle gourd","1881","Dhekiajuli","18","Assam","306","Sonitpur","Bottle Gourd","1333.4","1666.75","1666.75"
"2025-08-21","Bottle gourd","10340","Ambagan","18","Assam","305","Nagaon","Bottle Gourd","1333.4","1666.75","1533.41"
"2025-08-21","Bottle gourd","10365","Saraibil","18","Assam","300","Kokrajhar","Bottle Gourd","1666.75","2000.1","1866.76"
"2025-08-21","Bottle gourd","10349","Sonari","18","Assam","302","Goalpara","Bottle Gourd","1333.4","1600.08","1600.08"
"2025-08-21","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1200.06","1466.74","1200.06"
"2025-08-20","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1200.06","1333.4","1333.4"
"2025-08-20","Bottle gourd","1881","Dhekiajuli","18","Assam","306","Sonitpur","Bottle Gourd","1333.4","1666.75","1666.75"
"2025-08-20","Bottle gourd","10362","Dotma Bazar","18","Assam","300","Kokrajhar","Bottle Gourd","1666.75","2000.1","1800.09"
"2025-08-20","Bottle gourd","409","Jorhat","18","Assam","312","Jorhat","Bottle Gourd","1666.75","2000.1","2000.1"
"2025-08-20","Bottle gourd","10347","Krishnai","18","Assam","302","Goalpara","Bottle Gourd","1333.4","1666.75","1600.08"
"2025-08-20","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1333.4","1666.75","1333.4"
"2025-08-19","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1066.72","1333.4","1133.39"
"2025-08-19","Bottle gourd","1881","Dhekiajuli","18","Assam","306","Sonitpur","Bottle Gourd","1333.4","1666.75","1666.75"
"2025-08-19","Bottle gourd","10363","Gossaigaon","18","Assam","300","Kokrajhar","Bottle Gourd","1666.75","2000.1","1800.09"
"2025-08-19","Bottle gourd","409","Jorhat","18","Assam","312","Jorhat","Bottle Gourd","1333.4","1666.75","1666.75"
"2025-08-19","Bottle gourd","10350","Simlitola","18","Assam","302","Goalpara","Bottle Gourd","1200.06","1333.4","1200.06"
"2025-08-19","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1133.39","1200.06","1200.06"
"2025-08-18","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1200.06","1333.4","1200.06"
"2025-08-18","Bottle gourd","1881","Dhekiajuli","18","Assam","306","Sonitpur","Bottle Gourd","1000.05","1333.4","1333.4"
"2025-08-18","Bottle gourd","10374","Anand Bazar","18","Assam","307","Lakhimpur","Bottle Gourd","1333.4","1466.74","1333.4"
"2025-08-18","Bottle gourd","409","Jorhat","18","Assam","312","Jorhat","Bottle Gourd","1666.75","2000.1","2000.1"
"2025-08-18","Bottle gourd","10345","Darangiri Banana Market","18","Assam","302","Goalpara","Bottle Gourd","1333.4","1666.75","1666.75"
"2025-08-18","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1000.05","1200.06","1133.39"
"2025-08-17","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1000.05","1200.06","1200.06"
"2025-08-16","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1000.05","1200.06","1200.06"
"2025-08-16","Bottle gourd","10341","Haibargaon","18","Assam","305","Nagaon","Bottle Gourd","1333.4","1466.74","1333.4"
"2025-08-16","Bottle gourd","10376","Ghilamara","18","Assam","307","Lakhimpur","Bottle Gourd","1333.4","1466.74","1333.4"
"2025-08-16","Bottle gourd","10363","Gossaigaon","18","Assam","300","Kokrajhar","Bottle Gourd","1666.75","2000.1","1800.09"
"2025-08-16","Bottle gourd","10346","Jaleswar","18","Assam","302","Goalpara","Bottle Gourd","1200.06","1333.4","1333.4"
"2025-08-16","Bottle gourd","10339","Tangni","18","Assam","325","Darrang","Bottle Gourd","1200.06","1333.4","1200.06"
"2025-08-15","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1133.39","1200.06","1200.06"
"2025-08-15","Bottle gourd","10348","Lakhipur","18","Assam","302","Goalpara","Bottle Gourd","1333.4","1600.08","1466.74"
"2025-08-15","Bottle gourd","10337","Banglagarh","18","Assam","325","Darrang","Bottle Gourd","1200.06","1600.08","1333.4"
"2025-08-13","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1200.06","1333.4","1200.06"
"2025-08-13","Bottle gourd","1881","Dhekiajuli","18","Assam","306","Sonitpur","Bottle Gourd","1000.05","1333.4","1333.4"
"2025-08-13","Bottle gourd","404","Dhing","18","Assam","305","Nagaon","Bottle Gourd","1333.4","1466.74","1333.4"
"2025-08-13","Bottle gourd","409","Jorhat","18","Assam","312","Jorhat","Bottle Gourd","1333.4","1666.75","1666.75"
"2025-08-13","Bottle gourd","10347","Krishnai","18","Assam","302","Goalpara","Bottle Gourd","1333.4","1666.75","1466.74"
"2025-08-13","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1200.06","1333.4","1333.4"
"2025-08-12","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1133.39","1200.06","1200.06"
"2025-08-12","Bottle gourd","1881","Dhekiajuli","18","Assam","306","Sonitpur","Bottle Gourd","1666.75","2000.1","2000.1"
"2025-08-12","Bottle gourd","10375","Baginadi","18","Assam","307","Lakhimpur","Bottle Gourd","1466.74","1600.08","1466.74"
"2025-08-12","Bottle gourd","10363","Gossaigaon","18","Assam","300","Kokrajhar","Bottle Gourd","1333.4","1666.75","1666.75"
"2025-08-12","Bottle gourd","409","Jorhat","18","Assam","312","Jorhat","Bottle Gourd","1666.75","2000.1","2000.1"
"2025-08-12","Bottle gourd","10350","Simlitola","18","Assam","302","Goalpara","Bottle Gourd","1333.4","1666.75","1466.74"
"2025-08-12","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1200.06","1466.74","1333.4"
"2025-08-11","Bottle gourd","409","Jorhat","18","Assam","312","Jorhat","Bottle Gourd","1333.4","2000.1","1333.4"
"2025-08-11","Bottle gourd","10374","Anand Bazar","18","Assam","307","Lakhimpur","Bottle Gourd","1466.74","1600.08","1600.08"
"2025-08-11","Bottle gourd","10364","Serfanguri","18","Assam","300","Kokrajhar","Bottle Gourd","1466.74","1666.75","1666.75"
"2025-08-11","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1200.06","1466.74","1333.4"
"2025-08-11","Bottle gourd","10345","Darangiri Banana Market","18","Assam","302","Goalpara","Bottle Gourd","1333.4","1600.08","1466.74"
"2025-08-11","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1133.39","1200.06","1200.06"
"2025-08-10","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1133.39","1333.4","1333.4"
"2025-08-07","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1133.39","1200.06","1200.06"
"2025-08-07","Bottle gourd","1881","Dhekiajuli","18","Assam","306","Sonitpur","Bottle Gourd","666.7","1000.05","1000.05"
"2025-08-07","Bottle gourd","10340","Ambagan","18","Assam","305","Nagaon","Bottle Gourd","1200.06","1466.74","1333.4"
"2025-08-07","Bottle gourd","10378","Kakoi Weekly Market","18","Assam","307","Lakhimpur","Bottle Gourd","1466.74","1533.41","1466.74"
"2025-08-07","Bottle gourd","409","Jorhat","18","Assam","312","Jorhat","Bottle Gourd","1000.05","1333.4","1333.4"
"2025-08-07","Bottle gourd","10349","Sonari","18","Assam","302","Goalpara","Bottle Gourd","1000.05","1333.4","1333.4"
"2025-08-07","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1000.05","1333.4","1200.06"
"2025-08-06","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1133.39","1200.06","1200.06"
"2025-08-06","Bottle gourd","1881","Dhekiajuli","18","Assam","306","Sonitpur","Bottle Gourd","1000.05","1333.4","1333.4"
"2025-08-06","Bottle gourd","10347","Krishnai","18","Assam","302","Goalpara","Bottle Gourd","1000.05","1333.4","1200.06"
"2025-08-06","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1000.05","1333.4","1133.39"
"2025-08-05","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1000.05","1200.06","1200.06"
"2025-08-05","Bottle gourd","1881","Dhekiajuli","18","Assam","306","Sonitpur","Bottle Gourd","1000.05","1333.4","1333.4"
"2025-08-05","Bottle gourd","10375","Baginadi","18","Assam","307","Lakhimpur","Bottle Gourd","1466.74","1533.41","1533.41"
"2025-08-05","Bottle gourd","409","Jorhat","18","Assam","312","Jorhat","Bottle Gourd","1000.05","1333.4","1333.4"
"2025-08-05","Bottle gourd","10350","Simlitola","18","Assam","302","Goalpara","Bottle Gourd","1000.05","1333.4","1333.4"
"2025-08-05","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1000.05","1333.4","1200.06"
"2025-08-04","Bottle gourd","10336","Balugaon","18","Assam","325","Darrang","Bottle Gourd","1000.05","1333.4","1133.39"
"2025-08-04","Bottle gourd","10341","Haibargaon","18","Assam","305","Nagaon","Bottle Gourd","1000.05","1200.06","1066.72"
"2025-08-04","Bottle gourd","10374","Anand Bazar","18","Assam","307","Lakhimpur","Bottle Gourd","1466.74","1533.41","1466.74"
"2025-08-04","Bottle gourd","10345","Darangiri Banana Market","18","Assam","302","Goalpara","Bottle Gourd","1200.06","1466.74","1333.4"
"2025-08-04","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1133.39","1200.06","1200.06"
"2025-08-03","Bottle gourd","10384","Barpeta Road","18","Assam","303","Barpeta","Bottle Gourd","1066.72","1200.06","1200.06"
"2025-08-02","Bottle gourd","10356","Mariani","18","Assam","312","Jorhat","Bottle Gourd","1333.4","1866.76","1866.76"
"2025-08-02","Bottle gourd","10376","Ghilamara","18","Assam","307","Lakhimpur","Bottle Gourd","1333.4","1466.74","1466.74"
