t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-08-28","Brinjal","10381","Sonari","18","Assam","311","Sivasagar","Brinjal","2100","2300","2200"
"2025-08-28","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1600","2000","1700"
"2025-08-28","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1700","2400","1800"
"2025-08-28","Brinjal","10349","Sonari","18","Assam","302","Goalpara","Brinjal","2000","2500","2300"
"2025-08-28","Brinjal","10378","Kakoi Weekly Market","18","Assam","307","Lakhimpur","Brinjal","2500","3000","2500"
"2025-08-27","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1800","2500","2000"
"2025-08-27","Brinjal","10347","Krishnai","18","Assam","302","Goalpara","Brinjal","2000","2500","2200"
"2025-08-27","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","2400","3000","2600"
"2025-08-27","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1500","2000","1700"
"2025-08-26","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1800","2500","2000"
"2025-08-26","Brinjal","10373","Mukalmua","18","Assam","323","Nalbari","Brinjal","2000","2600","2400"
"2025-08-26","Brinjal","10375","Baginadi","18","Assam","307","Lakhimpur","Brinjal","2200","3000","2500"
"2025-08-26","Brinjal","10350","Simlitola","18","Assam","302","Goalpara","Brinjal","1800","2400","2000"
"2025-08-26","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1600","2000","1700"
"2025-08-23","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1500","2000","1800"
"2025-08-23","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","2400","2600","2600"
"2025-08-23","Brinjal","10346","Jaleswar","18","Assam","302","Goalpara","Brinjal","1800","2400","2100"
"2025-08-23","Brinjal","10342","Bilasipara","18","Assam","301","Dhubri","Brinjal","2000","2600","2400"
"2025-08-22","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1500","2000","1800"
"2025-08-22","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","3000","4000","3600"
"2025-08-22","Brinjal","10376","Ghilamara","18","Assam","307","Lakhimpur","Brinjal","2000","2800","2200"
"2025-08-22","Brinjal","10348","Lakhipur","18","Assam","302","Goalpara","Brinjal","1800","2400","2200"
"2025-08-22","Brinjal","10343","Chapar","18","Assam","301","Dhubri","Brinjal","2000","2600","2400"
"2025-08-22","Brinjal","10337","Banglagarh","18","Assam","325","Darrang","Brinjal","1500","1800","1600"
"2025-08-21","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1400","1700","1500"
"2025-08-21","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2200","2600","2600"
"2025-08-21","Brinjal","1885","Nalbari","18","Assam","323","Nalbari","Brinjal","3000","3600","3000"
"2025-08-21","Brinjal","10378","Kakoi Weekly Market","18","Assam","307","Lakhimpur","Brinjal","2000","2600","2500"
"2025-08-21","Brinjal","10349","Sonari","18","Assam","302","Goalpara","Brinjal","1600","2000","2000"
"2025-08-21","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1500","2000","1600"
"2025-08-20","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1500","2000","1600"
"2025-08-20","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2800","3000","3000"
"2025-08-20","Brinjal","10371","Dhamdhama","18","Assam","323","Nalbari","Brinjal","2000","2600","2400"
"2025-08-20","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","3500","4000","4000"
"2025-08-20","Brinjal","10347","Krishnai","18","Assam","302","Goalpara","Brinjal","1800","2200","2000"
"2025-08-20","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1500","2000","1600"
"2025-08-19","Brinjal","10384","Barpeta Road","18","Assam","303","Barpeta","Brinjal","1500","2200","1700"
"2025-08-19","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","2400","3000","3000"
"2025-08-19","Brinjal","10373","Mukalmua","18","Assam","323","Nalbari","Brinjal","1800","2000","2000"
"2025-08-19","Brinjal","10375","Baginadi","18","Assam","307","Lakhimpur","Brinjal","1800","2500","2200"
"2025-08-19","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","3000","3200","3200"
"2025-08-19","Brinjal","10350","Simlitola","18","Assam","302","Goalpara","Brinjal","1500","2000","1800"
"2025-08-19","Brinjal","10336","Balugaon","18","Assam","325","Darrang","Brinjal","1200","1500","1400"
"2025-08-19","Brinjal","10342","Bilasipara","18","Assam","301","Dhubri","Brinjal","1600","2200","1800"
"2025-08-18","Brinjal","409","Jorhat","18","Assam","312","Jorhat","Brinjal","3500","4000","4000"
"2025-08-18","Brinjal","1881","Dhekiajuli","18","Assam","306","Sonitpur","Brinjal","3000","3400","3400"
