t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2025-05-30","Cauliflower","1884","Sibsagar","18","Assam","311","Sivasagar","Cauliflower","2600","2800","2800"
"2025-05-30","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","4500","4800","4600"
"2025-05-28","Cauliflower","10380","Simalguri","18","Assam","311","Sivasagar","Cauliflower","2200","2500","2500"
"2025-05-28","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2700","2800","2700"
"2025-05-28","Cauliflower","10354","Brahmaputra Private Market","18","Assam","321","Kamrup","Cauliflower","2600","2700","2600"
"2025-05-28","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","2300","2600","2600"
"2025-05-27","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","2200","2400","2400"
"2025-05-27","Cauliflower","10366","Boralimari","18","Assam","304","Morigaon","Cauliflower","2400","2600","2500"
"2025-05-27","Cauliflower","10379","Moran","18","Assam","311","Sivasagar","Cauliflower","2000","2200","2200"
"2025-05-27","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2600","2700","2600"
"2025-05-27","Cauliflower","10354","Brahmaputra Private Market","18","Assam","321","Kamrup","Cauliflower","2600","2700","2600"
"2025-05-27","Cauliflower","10358","Diphu","18","Assam","314","Karbi Anglong","Cauliflower","3000","3500","3500"
"2025-05-26","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","2300","2500","2500"
"2025-05-26","Cauliflower","10368","Jagiroad Dry Fish Market","18","Assam","304","Morigaon","Cauliflower","2400","2500","2400"
"2025-05-26","Cauliflower","1884","Sibsagar","18","Assam","311","Sivasagar","Cauliflower","2500","2800","2600"
"2025-05-26","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2500","2600","2500"
"2025-05-25","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","2500","2600","2600"
"2025-05-25","Cauliflower","1884","Sibsagar","18","Assam","311","Sivasagar","Cauliflower","2200","2500","2500"
"2025-05-25","Cauliflower","10368","Jagiroad Dry Fish Market","18","Assam","304","Morigaon","Cauliflower","2200","2400","2300"
"2025-05-25","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2500","2600","2500"
"2025-05-24","Cauliflower","1884","Sibsagar","18","Assam","311","Sivasagar","Cauliflower","2200","2500","2500"
"2025-05-24","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","2200","2400","2400"
"2025-05-23","Cauliflower","10354","Brahmaputra Private Market","18","Assam","321","Kamrup","Cauliflower","2400","2500","2400"
"2025-05-23","Cauliflower","1884","Sibsagar","18","Assam","311","Sivasagar","Cauliflower","2200","2500","2500"
"2025-05-23","Cauliflower","10368","Jagiroad Dry Fish Market","18","Assam","304","Morigaon","Cauliflower","2200","2400","2300"
"2025-05-23","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","2200","2300","2300"
"2025-05-23","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2400","2600","2500"
"2025-05-22","Cauliflower","10381","Sonari","18","Assam","311","Sivasagar","Cauliflower","2000","2200","2000"
"2025-05-22","Cauliflower","10367","Burhagaon","18","Assam","304","Morigaon","Cauliflower","2200","2600","2400"
"2025-05-22","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","2200","2300","2300"
"2025-05-22","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2400","2700","2500"
"2025-05-21","Cauliflower","8206","Kushtoli","18","Assam","304","Morigaon","Cauliflower","1800","2000","1800"
"2025-05-21","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","2000","2200","2000"
"2025-05-21","Cauliflower","10347","Krishnai","18","Assam","302","Goalpara","Cauliflower","2000","2400","2400"
"2025-05-21","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2400","2500","2400"
"2025-05-21","Cauliflower","10380","Simalguri","18","Assam","311","Sivasagar","Cauliflower","1900","2000","1900"
"2025-05-20","Cauliflower","10350","Simlitola","18","Assam","302","Goalpara","Cauliflower","2000","2500","2400"
"2025-05-20","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2200","2500","2400"
"2025-05-20","Cauliflower","10354","Brahmaputra Private Market","18","Assam","321","Kamrup","Cauliflower","2200","2400","2300"
"2025-05-20","Cauliflower","1884","Sibsagar","18","Assam","311","Sivasagar","Cauliflower","2000","2100","2100"
"2025-05-20","Cauliflower","10369","Laharighat","18","Assam","304","Morigaon","Cauliflower","2500","2600","2500"
"2025-05-20","Cauliflower","10363","Gossaigaon","18","Assam","300","Kokrajhar","Cauliflower","3500","4000","3700"
"2025-05-20","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","1900","2000","2000"
"2025-05-19","Cauliflower","10345","Darangiri Banana Market","18","Assam","302","Goalpara","Cauliflower","2000","2200","2000"
"2025-05-19","Cauliflower","1884","Sibsagar","18","Assam","311","Sivasagar","Cauliflower","2000","2200","2200"
"2025-05-19","Cauliflower","10368","Jagiroad Dry Fish Market","18","Assam","304","Morigaon","Cauliflower","2200","2500","2200"
"2025-05-19","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","1900","2300","2300"
"2025-05-19","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2500","2600","2500"
"2025-05-18","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","1900","2000","2000"
"2025-05-18","Cauliflower","1884","Sibsagar","18","Assam","311","Sivasagar","Cauliflower","2000","2200","2200"
"2025-05-18","Cauliflower","10368","Jagiroad Dry Fish Market","18","Assam","304","Morigaon","Cauliflower","2200","2600","2400"
"2025-05-18","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2500","2700","2600"
"2025-05-17","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","1900","2000","2000"
"2025-05-17","Cauliflower","1884","Sibsagar","18","Assam","311","Sivasagar","Cauliflower","2000","2200","2200"
"2025-05-17","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2000","2300","2200"
"2025-05-17","Cauliflower","10370","Moirabari","18","Assam","304","Morigaon","Cauliflower","2000","2200","2100"
"2025-05-17","Cauliflower","10346","Jaleswar","18","Assam","302","Goalpara","Cauliflower","2000","2500","2000"
"2025-05-16","Cauliflower","10368","Jagiroad Dry Fish Market","18","Assam","304","Morigaon","Cauliflower","2200","2500","2300"
"2025-05-16","Cauliflower","10381","Sonari","18","Assam","311","Sivasagar","Cauliflower","2000","2200","2200"
"2025-05-16","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","2000","2380","2200"
"2025-05-16","Cauliflower","10348","Lakhipur","18","Assam","302","Goalpara","Cauliflower","2000","2400","2200"
"2025-05-16","Cauliflower","10335","Sonabarighat","18","Assam","316","Cachar","Cauliflower","3000","3500","3000"
"2025-05-16","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2400","2600","2500"
"2025-05-15","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2000","2500","2200"
"2025-05-15","Cauliflower","1881","Dhekiajuli","18","Assam","306","Sonitpur","Cauliflower","2600","2700","2700"
"2025-05-15","Cauliflower","1884","Sibsagar","18","Assam","311","Sivasagar","Cauliflower","1800","2000","2000"
"2025-05-15","Cauliflower","10367","Burhagaon","18","Assam","304","Morigaon","Cauliflower","2400","2500","2400"
"2025-05-15","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","1800","2000","2000"
"2025-05-15","Cauliflower","10349","Sonari","18","Assam","302","Goalpara","Cauliflower","2000","2400","2100"
"2025-05-15","Cauliflower","10354","Brahmaputra Private Market","18","Assam","321","Kamrup","Cauliflower","2400","2600","2500"
"2025-05-13","Cauliflower","10330","Fatakbazar","18","Assam","316","Cachar","Cauliflower","2300","2400","2300"
"2025-05-13","Cauliflower","1884","Sibsagar","18","Assam","311","Sivasagar","Cauliflower","1800","2000","2000"
"2025-05-13","Cauliflower","10366","Boralimari","18","Assam","304","Morigaon","Cauliflower","2000","2200","2000"
"2025-05-13","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","1700","2000","1800"
"2025-05-13","Cauliflower","10350","Simlitola","18","Assam","302","Goalpara","Cauliflower","1800","2000","1800"
"2025-05-13","Cauliflower","8207","Pamohi(Garchuk)","18","Assam","322","Kamrup Metropolitan","Cauliflower","2000","2400","2200"
"2025-05-12","Cauliflower","408","Golaghat","18","Assam","313","Golaghat","Cauliflower","1900","2200","2000"
"2025-05-12","Cauliflower","1884","Sibsagar","18","Assam","311","Sivasagar","Cauliflower","1800","2000","2000"
