t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
05-05-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,1000,1000
05-05-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
04-05-2025,Potato,10382,Bindukuri,18,Assam,306,Sonitpur,Potato,800,1000,1000
03-05-2025,Potato,10346,Jaleswar,18,Assam,302,Goalpara,Potato,1100,1200,1100
03-05-2025,Potato,10356,Mariani,18,Assam,312,Jorhat,Potato,1000,1100,1100
02-05-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1100,1100
02-05-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,1000,1200,1200
30-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,900,1000,1000
29-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,900,1000,1000
29-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
28-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
25-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,1000,1000
25-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
24-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,1000,1200,1200
24-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,800,1000,1000
23-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1100,1100
23-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,900,900
22-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
22-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,1000,1000
21-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,1000,1200,1200
21-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
20-04-2025,Potato,10382,Bindukuri,18,Assam,306,Sonitpur,Potato,1000,1200,1200
19-04-2025,Potato,10356,Mariani,18,Assam,312,Jorhat,Potato,900,1000,1000
18-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,1000,1100,1100
18-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
17-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,1000,1200,1200
17-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
13-04-2025,Potato,10382,Bindukuri,18,Assam,306,Sonitpur,Potato,1000,1100,1100
11-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
11-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,1000,1200,1200
10-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,900,1000,1000
10-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1100,1100
09-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,800,900,900
09-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,900,900
08-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,1000,1100,1100
08-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
07-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,900,900
07-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1100,1100
05-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
05-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,900,900
04-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
04-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,900,900
03-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
02-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
02-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,1000,1200,1200
01-04-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
01-04-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,1000,1200,1200
30-03-2025,Potato,10382,Bindukuri,18,Assam,306,Sonitpur,Potato,800,900,900
29-03-2025,Potato,10356,Mariani,18,Assam,312,Jorhat,Potato,1000,1200,1200
28-03-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
28-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,900,900
27-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,900,900
27-03-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
26-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,900,900
26-03-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,800,1000,1000
25-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,900,900
25-03-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
24-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,900,900
24-03-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
21-03-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
21-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,1000,1000
20-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,1000,1200,1200
20-03-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
19-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,1000,1000
19-03-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
18-03-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
18-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,1000,1000
17-03-2025,Potato,1885,Nalbari,18,Assam,323,Nalbari,Potato,950,1100,1100
17-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,100,1200,1200
15-03-2025,Potato,10356,Mariani,18,Assam,312,Jorhat,Potato,1000,1200,1200
14-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,1200,1300,1300
13-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,1000,1200,1200
13-03-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
12-03-2025,Potato,1881,Dhekiajuli,18,Assam,306,Sonitpur,Potato,800,1000,1000
12-03-2025,Potato,409,Jorhat,18,Assam,312,Jorhat,Potato,1000,1200,1200
